Date,GJTB3MO_Close,GJGB2_Close,GJGB5_Close,GJGB10_Close,GJGB30_Close
1/4/2000,0.092,0.325,1.01,1.738,2.459
1/5/2000,0.07,0.3,0.975,1.699,2.434
1/6/2000,0.082,0.305,0.965,1.685,2.408
1/7/2000,0.088,0.335,1.015,1.719,2.437
1/11/2000,0.13,0.355,1.02,1.714,2.422
1/12/2000,0.13,0.4,1.065,1.738,2.421
1/13/2000,0.12,0.37,1.04,1.817,2.412
1/14/2000,0.12,0.345,1.01,1.8,2.407
1/17/2000,0.181,0.36,1.025,1.8,2.425
1/18/2000,0.095,0.35,1,1.765,2.418
1/19/2000,0.104,0.35,1,1.775,2.423
1/20/2000,0.095,0.36,1.025,1.8,2.429
1/21/2000,0.085,0.345,1,1.759,2.377
1/24/2000,0.08,0.32,0.935,1.68,2.272
1/25/2000,0.065,0.3,0.925,1.633,2.259
1/26/2000,0.072,0.29,0.915,1.651,2.274
1/27/2000,0.06,0.29,0.915,1.652,2.28
1/28/2000,0.066,0.29,0.895,1.68,2.248
1/31/2000,0.055,0.34,0.955,1.735,2.296
2/1/2000,0.05,0.365,0.99,1.77,2.33
2/2/2000,0.055,0.395,1.055,1.854,2.42
2/3/2000,0.055,0.395,1.055,1.869,2.404
2/4/2000,0.05,0.35,1.015,1.834,2.369
2/7/2000,0.045,0.345,1.035,1.87,2.421
2/8/2000,0.053,0.36,1.09,1.919,2.481
2/9/2000,0.05,0.345,1.055,1.894,2.446
2/10/2000,0.04,0.35,1.055,1.867,2.401
2/14/2000,0.048,0.345,1.05,1.835,2.366
2/15/2000,0.04,0.335,1.03,1.809,2.312
2/16/2000,0.047,0.325,1.025,1.802,2.293
2/17/2000,0.05,0.335,1.07,1.858,2.325
2/18/2000,,0.31,1.02,1.827,2.286
2/21/2000,0.045,0.295,1.005,1.807,2.273
2/22/2000,0.04,0.305,1.04,1.868,2.336
2/23/2000,0.04,0.31,1.04,1.849,2.322
2/24/2000,0.049,0.335,1.075,1.875,2.347
2/25/2000,0.04,0.34,1.085,1.892,2.369
2/28/2000,0.047,0.325,1.035,1.832,2.329
2/29/2000,0.04,0.38,1.14,1.852,2.344
3/1/2000,0.047,0.38,1.13,1.838,2.298
3/2/2000,0.045,0.385,1.11,1.796,2.217
3/3/2000,0.045,0.41,1.13,1.806,2.195
3/6/2000,0.045,0.4,1.11,1.782,2.173
3/7/2000,0.048,0.425,1.14,1.8,2.177
3/8/2000,0.047,0.41,1.11,1.766,2.134
3/9/2000,0.06,0.42,1.135,1.809,2.172
3/10/2000,0.055,0.43,1.165,1.842,2.302
3/13/2000,0.055,0.43,1.155,1.826,2.291
3/14/2000,0.055,0.43,1.165,1.821,2.292
3/15/2000,0.06,0.435,1.18,1.837,2.299
3/16/2000,0.075,0.46,1.205,1.866,2.324
3/17/2000,0.075,0.475,1.205,1.856,2.313
3/21/2000,0.077,0.495,1.23,1.891,2.342
3/22/2000,0.11,0.46,1.19,1.862,2.317
3/23/2000,0.095,0.445,1.185,1.849,2.317
3/24/2000,0.085,0.465,1.21,1.878,2.342
3/27/2000,0.045,0.495,1.245,1.902,2.373
3/28/2000,0.04,0.495,1.235,1.882,2.353
3/29/2000,0.055,0.495,1.22,1.859,2.327
3/30/2000,0.075,0.475,1.16,1.796,2.251
3/31/2000,0.075,0.465,1.145,1.781,2.21
4/3/2000,0.07,0.455,1.16,1.812,2.229
4/4/2000,0.07,0.44,1.135,1.789,2.208
4/5/2000,0.06,0.43,1.135,1.781,2.178
4/6/2000,0.065,0.415,1.11,1.742,2.139
4/7/2000,0.06,0.4,1.105,1.728,2.105
4/10/2000,0.063,0.415,1.135,1.741,2.079
4/11/2000,0.06,0.415,1.135,1.749,2.081
4/12/2000,0.06,0.42,1.15,1.787,2.134
4/13/2000,0.07,0.48,1.2,1.81,2.163
4/14/2000,0.065,0.46,1.175,1.799,2.133
4/17/2000,0.06,0.41,1.1,1.712,2.034
4/18/2000,0.061,0.415,1.11,1.72,2.045
4/19/2000,0.058,0.415,1.1,1.713,2.042
4/20/2000,0.05,0.425,1.12,1.737,2.079
