Date,Open,High,Low,Close,SMAVG (50),SMAVG (100),SMAVG (200)
2009-05-19,2.9477,2.9477,2.9477,2.9477,,,
2009-05-20,3.1022,3.1022,3.1022,3.1022,,,
2009-05-21,3.0333,3.0333,3.0333,3.0333,,,
2009-05-22,3.0446,3.0446,3.0446,3.0446,,,
2009-05-25,3.0568,3.0568,3.0568,3.0568,,,
2009-05-26,3.0197,3.0197,3.0197,3.0197,,,
2009-05-27,3.1171,3.1171,3.1171,3.1171,,,
2009-05-28,3.0535,3.0535,3.0535,3.0535,,,
2009-05-29,3.0395,3.0395,3.0395,3.0395,,,
2009-06-01,3.0284,3.0284,3.0284,3.0284,,,
2009-06-02,3.0389,3.0389,3.0389,3.0389,,,
2009-06-03,3.1902,3.1902,3.1902,3.1902,,,
2009-06-04,3.0703,3.0703,3.0703,3.0703,,,
2009-06-05,3.1187,3.1187,3.1187,3.1187,,,
2009-06-09,3.1446,3.1446,3.1446,3.1446,,,
2009-06-10,3.2221,3.2221,3.2221,3.2221,,,
2009-06-11,3.1801,3.1801,3.1801,3.1801,,,
2009-06-12,3.1729,3.1729,3.1729,3.1729,,,
2009-06-15,3.2072,3.2072,3.2072,3.2072,,,
2009-06-16,3.1527,3.1527,3.1527,3.1527,,,
2009-06-17,3.2057,3.2057,3.2057,3.2057,,,
2009-06-18,3.1256,3.1256,3.1256,3.1256,,,
2009-06-19,3.1907,3.1907,3.1907,3.1907,,,
2009-06-22,3.229,3.229,3.229,3.229,,,
2009-06-23,3.2686,3.2686,3.2686,3.2686,,,
2009-06-24,3.3336,3.3336,3.3336,3.3336,,,
2009-06-25,3.2463,3.2463,3.2463,3.2463,,,
2009-06-26,3.2959,3.2959,3.2959,3.2959,,,
2009-06-29,3.2449,3.2449,3.2449,3.2449,,,
2009-06-30,3.2262,3.2262,3.2262,3.2262,,,
2009-07-01,3.2817,3.2817,3.2817,3.2817,,,
2009-07-02,3.1793,3.1793,3.1793,3.1793,,,
2009-07-03,3.1305,3.1305,3.1305,3.1305,,,
2009-07-06,3.1316,3.1316,3.1316,3.1316,,,
2009-07-07,3.138,3.138,3.138,3.138,,,
2009-07-08,3.2405,3.2405,3.2405,3.2405,,,
2009-07-09,3.1145,3.1145,3.1145,3.1145,,,
2009-07-10,3.0837,3.0837,3.0837,3.0837,,,
2009-07-13,3.0947,3.0947,3.0947,3.0947,,,
2009-07-14,3.1043,3.1043,3.1043,3.1043,,,
2009-07-15,3.2312,3.2312,3.2312,3.2312,,,
2009-07-16,3.2342,3.2342,3.2342,3.2342,,,
2009-07-17,3.1727,3.1727,3.1727,3.1727,,,
2009-07-20,3.1471,3.1471,3.1471,3.1471,,,
2009-07-21,3.145,3.145,3.145,3.145,,,
2009-07-22,3.2438,3.2438,3.2438,3.2438,,,
2009-07-23,3.1831,3.1831,3.1831,3.1831,,,
2009-07-24,3.2029,3.2029,3.2029,3.2029,,,
2009-07-27,3.1665,3.1665,3.1665,3.1665,,,
2009-07-28,3.1865,3.1865,3.1865,3.1865,3.1544,,
2009-07-29,3.2811,3.2811,3.2811,3.2811,3.161,,
2009-07-30,3.1867,3.1867,3.1867,3.1867,3.1627,,
2009-07-31,3.2086,3.2086,3.2086,3.2086,3.1662,,
2009-08-04,3.1513,3.1513,3.1513,3.1513,3.1684,,
2009-08-05,3.2131,3.2131,3.2131,3.2131,3.1715,,
2009-08-06,3.2024,3.2024,3.2024,3.2024,3.1752,,
2009-08-07,3.2335,3.2335,3.2335,3.2335,3.1775,,
2009-08-10,3.2188,3.2188,3.2188,3.2188,3.1808,,
2009-08-11,3.2571,3.2571,3.2571,3.2571,3.1851,,
2009-08-12,3.2954,3.2954,3.2954,3.2954,3.1905,,
2009-08-13,3.2024,3.2024,3.2024,3.2024,3.1937,,
2009-08-14,3.2008,3.2008,3.2008,3.2008,3.194,,
2009-08-17,3.2101,3.2101,3.2101,3.2101,3.1968,,
2009-08-18,3.1557,3.1557,3.1557,3.1557,3.1975,,
2009-08-19,3.2268,3.2268,3.2268,3.2268,3.1991,,
2009-08-20,3.1654,3.1654,3.1654,3.1654,3.198,,
2009-08-21,3.1773,3.1773,3.1773,3.1773,3.198,,
2009-08-24,3.1578,3.1578,3.1578,3.1578,3.1976,,
2009-08-25,3.2086,3.2086,3.2086,3.2086,3.1977,,
2009-08-26,3.2405,3.2405,3.2405,3.2405,3.1994,,
2009-08-27,3.1885,3.1885,3.1885,3.1885,3.1991,,
2009-08-28,3.1633,3.1633,3.1633,3.1633,3.1998,,
2009-08-31,3.2493,3.2493,3.2493,3.2493,3.201,,
2009-09-01,3.288,3.288,3.288,3.288,3.2022,,
2009-09-02,3.3549,3.3549,3.3549,3.3549,3.2039,,
2009-09-03,3.1607,3.1607,3.1607,3.1607,3.2005,,
2009-09-04,3.1492,3.1492,3.1492,3.1492,3.1985,,
2009-09-07,3.1839,3.1839,3.1839,3.1839,3.1963,,
2009-09-08,3.2218,3.2218,3.2218,3.2218,3.1958,,
2009-09-09,3.2543,3.2543,3.2543,3.2543,3.1964,,
2009-09-10,3.2024,3.2024,3.2024,3.2024,3.1948,,
2009-09-11,3.1867,3.1867,3.1867,3.1867,3.1949,,
2009-09-14,3.1232,3.1232,3.1232,3.1232,3.1948,,
2009-09-15,3.1542,3.1542,3.1542,3.1542,3.1953,,
